CMDLINE D:\Wrishav\floorOverlay\.venv\Scripts\python.exe .\app.py
MEM 6.664062 1750936442.3624
MEM 6.664062 1750936442.4632
MEM 6.664062 1750936442.5642
MEM 6.664062 1750936442.6648
MEM 6.664062 1750936442.7657
MEM 6.664062 1750936442.8671
MEM 6.664062 1750936442.9677
MEM 6.664062 1750936443.0683
MEM 6.664062 1750936443.1688
MEM 6.664062 1750936443.2695
MEM 6.664062 1750936443.3704
MEM 6.664062 1750936443.4708
MEM 6.664062 1750936443.5714
MEM 6.664062 1750936443.6721
MEM 6.664062 1750936443.7730
MEM 6.664062 1750936443.8736
MEM 6.664062 1750936443.9740
MEM 6.664062 1750936444.0753
MEM 6.664062 1750936444.1756
MEM 6.664062 1750936444.2763
MEM 6.664062 1750936444.3767
MEM 6.664062 1750936444.4771
MEM 6.664062 1750936444.5775
MEM 6.664062 1750936444.6780
MEM 6.664062 1750936444.7787
MEM 6.664062 1750936444.8793
MEM 6.664062 1750936444.9799
MEM 6.664062 1750936445.0806
MEM 6.664062 1750936445.1813
MEM 6.664062 1750936445.2820
MEM 6.664062 1750936445.3827
MEM 6.664062 1750936445.4834
MEM 6.664062 1750936445.5840
MEM 6.664062 1750936445.6847
MEM 6.664062 1750936445.7855
MEM 6.664062 1750936445.8862
MEM 6.664062 1750936445.9868
MEM 6.664062 1750936446.0872
MEM 6.664062 1750936446.1876
MEM 6.664062 1750936446.2882
MEM 6.664062 1750936446.3888
MEM 6.664062 1750936446.4895
MEM 6.664062 1750936446.5900
MEM 6.664062 1750936446.6905
MEM 6.664062 1750936446.7912
MEM 6.664062 1750936446.8916
MEM 6.664062 1750936446.9921
MEM 6.664062 1750936447.0925
MEM 6.664062 1750936447.1933
MEM 6.664062 1750936447.2937
MEM 6.664062 1750936447.3944
MEM 6.664062 1750936447.4951
MEM 6.664062 1750936447.5959
MEM 6.664062 1750936447.6964
MEM 6.664062 1750936447.7966
MEM 6.664062 1750936447.8972
MEM 6.664062 1750936447.9981
MEM 6.664062 1750936448.0989
MEM 6.664062 1750936448.1995
MEM 6.664062 1750936448.2999
MEM 6.664062 1750936448.4006
MEM 6.664062 1750936448.5012
MEM 6.664062 1750936448.6022
MEM 6.664062 1750936448.7031
MEM 6.664062 1750936448.8039
MEM 6.664062 1750936448.9044
MEM 6.664062 1750936449.0052
MEM 6.664062 1750936449.1059
MEM 6.664062 1750936449.2067
MEM 6.664062 1750936449.3073
MEM 6.664062 1750936449.4079
MEM 6.664062 1750936449.5085
MEM 6.664062 1750936449.6089
MEM 6.664062 1750936449.7095
MEM 6.664062 1750936449.8103
MEM 6.664062 1750936449.9107
MEM 6.664062 1750936450.0112
MEM 6.664062 1750936450.1118
MEM 6.664062 1750936450.2126
MEM 6.664062 1750936450.3132
MEM 6.664062 1750936450.4139
MEM 6.664062 1750936450.5145
MEM 6.664062 1750936450.6152
MEM 6.664062 1750936450.7162
MEM 6.664062 1750936450.8166
MEM 6.664062 1750936450.9172
MEM 6.664062 1750936451.0175
MEM 6.664062 1750936451.1180
MEM 6.664062 1750936451.2188
MEM 6.664062 1750936451.3196
MEM 6.664062 1750936451.4205
MEM 6.664062 1750936451.5211
MEM 6.664062 1750936451.6215
MEM 6.664062 1750936451.7221
MEM 6.664062 1750936451.8227
MEM 6.664062 1750936451.9233
MEM 6.664062 1750936452.0237
MEM 6.664062 1750936452.1243
MEM 6.664062 1750936452.2247
MEM 6.664062 1750936452.3254
MEM 6.664062 1750936452.4260
MEM 6.664062 1750936452.5263
MEM 6.664062 1750936452.6270
MEM 6.664062 1750936452.7279
MEM 6.664062 1750936452.8285
MEM 6.664062 1750936452.9293
MEM 6.664062 1750936453.0299
MEM 6.664062 1750936453.1307
MEM 6.664062 1750936453.2317
MEM 6.664062 1750936453.3325
MEM 6.664062 1750936453.4330
MEM 6.664062 1750936453.5338
MEM 6.664062 1750936453.6344
MEM 6.664062 1750936453.7350
MEM 6.664062 1750936453.8359
MEM 6.664062 1750936453.9363
MEM 6.664062 1750936454.0368
MEM 6.664062 1750936454.1374
MEM 6.664062 1750936454.2382
MEM 6.664062 1750936454.3390
MEM 6.664062 1750936454.4401
MEM 6.664062 1750936454.5405
MEM 6.664062 1750936454.6407
MEM 6.664062 1750936454.7413
MEM 6.664062 1750936454.8422
MEM 6.664062 1750936454.9429
MEM 6.664062 1750936455.0435
MEM 6.664062 1750936455.1444
MEM 6.664062 1750936455.2454
MEM 6.664062 1750936455.3458
MEM 6.664062 1750936455.4462
MEM 6.664062 1750936455.5469
MEM 6.664062 1750936455.6473
MEM 6.664062 1750936455.7480
MEM 6.664062 1750936455.8488
MEM 6.664062 1750936455.9491
MEM 6.664062 1750936456.0499
MEM 6.664062 1750936456.1503
MEM 6.664062 1750936456.2508
MEM 6.664062 1750936456.3511
MEM 6.664062 1750936456.4520
MEM 6.664062 1750936456.5527
MEM 6.664062 1750936456.6532
MEM 6.664062 1750936456.7539
MEM 6.664062 1750936456.8545
MEM 6.664062 1750936456.9550
MEM 6.664062 1750936457.0555
MEM 6.664062 1750936457.1562
MEM 6.664062 1750936457.2565
MEM 6.664062 1750936457.3570
MEM 6.664062 1750936457.4576
MEM 6.664062 1750936457.5584
MEM 6.664062 1750936457.6589
MEM 6.664062 1750936457.7594
MEM 6.664062 1750936457.8603
MEM 6.664062 1750936457.9612
MEM 6.664062 1750936458.0617
MEM 6.664062 1750936458.1621
MEM 6.664062 1750936458.2627
MEM 6.664062 1750936458.3634
MEM 6.664062 1750936458.4636
MEM 6.664062 1750936458.5640
MEM 6.664062 1750936458.6647
MEM 6.664062 1750936458.7650
MEM 6.664062 1750936458.8659
MEM 6.664062 1750936458.9666
MEM 6.664062 1750936459.0672
MEM 6.664062 1750936459.1676
MEM 6.664062 1750936459.2681
MEM 6.664062 1750936459.3689
MEM 6.664062 1750936459.4692
MEM 6.664062 1750936459.5695
MEM 6.664062 1750936459.6704
MEM 6.664062 1750936459.7709
MEM 6.664062 1750936459.8717
MEM 6.664062 1750936459.9722
MEM 6.664062 1750936460.0728
MEM 6.664062 1750936460.1733
MEM 6.664062 1750936460.2740
MEM 6.664062 1750936460.3747
MEM 6.664062 1750936460.4753
MEM 6.664062 1750936460.5759
MEM 6.664062 1750936460.6767
MEM 6.664062 1750936460.7773
MEM 6.664062 1750936460.8776
MEM 6.664062 1750936460.9779
MEM 6.664062 1750936461.0785
MEM 6.664062 1750936461.1791
MEM 6.664062 1750936461.2795
MEM 6.664062 1750936461.3799
MEM 6.664062 1750936461.4806
MEM 6.664062 1750936461.5814
MEM 6.664062 1750936461.6818
MEM 6.664062 1750936461.7823
MEM 6.664062 1750936461.8828
MEM 6.664062 1750936461.9834
MEM 6.664062 1750936462.0842
MEM 6.664062 1750936462.1848
MEM 6.664062 1750936462.2851
MEM 6.664062 1750936462.3855
MEM 6.664062 1750936462.4861
MEM 6.664062 1750936462.5865
MEM 6.664062 1750936462.6870
MEM 6.664062 1750936462.7877
MEM 6.664062 1750936462.8882
MEM 6.664062 1750936462.9887
MEM 6.664062 1750936463.0896
MEM 6.664062 1750936463.1901
MEM 6.664062 1750936463.2906
MEM 6.664062 1750936463.3917
MEM 6.664062 1750936463.4925
MEM 6.664062 1750936463.5930
MEM 6.664062 1750936463.6936
MEM 6.664062 1750936463.7943
MEM 6.664062 1750936463.8947
MEM 6.664062 1750936463.9950
MEM 6.664062 1750936464.0953
MEM 6.664062 1750936464.1958
MEM 6.664062 1750936464.2965
MEM 6.664062 1750936464.3971
MEM 6.664062 1750936464.4976
MEM 6.664062 1750936464.5982
MEM 6.664062 1750936464.6990
MEM 6.664062 1750936464.7998
MEM 6.664062 1750936464.9003
MEM 6.664062 1750936465.0011
MEM 6.664062 1750936465.1020
MEM 6.664062 1750936465.2026
MEM 6.664062 1750936465.3032
MEM 6.664062 1750936465.4037
MEM 6.664062 1750936465.5042
MEM 6.664062 1750936465.6049
MEM 6.664062 1750936465.7053
MEM 6.664062 1750936465.8061
MEM 6.664062 1750936465.9063
MEM 6.664062 1750936466.0074
MEM 6.664062 1750936466.1082
MEM 6.664062 1750936466.2086
MEM 6.664062 1750936466.3094
MEM 6.664062 1750936466.4104
MEM 6.664062 1750936466.5109
MEM 6.664062 1750936466.6116
MEM 6.664062 1750936466.7123
MEM 6.664062 1750936466.8135
MEM 6.664062 1750936466.9140
MEM 6.664062 1750936467.0145
MEM 6.664062 1750936467.1155
MEM 6.664062 1750936467.2162
MEM 6.664062 1750936467.3166
MEM 6.664062 1750936467.4169
MEM 6.664062 1750936467.5173
MEM 6.664062 1750936467.6179
MEM 6.664062 1750936467.7182
MEM 6.664062 1750936467.8185
MEM 6.664062 1750936467.9190
MEM 6.664062 1750936468.0196
MEM 6.664062 1750936468.1203
MEM 6.664062 1750936468.2207
MEM 6.664062 1750936468.3210
MEM 6.664062 1750936468.4216
MEM 6.664062 1750936468.5223
MEM 6.664062 1750936468.6229
MEM 6.664062 1750936468.7231
MEM 6.664062 1750936468.8236
MEM 6.664062 1750936468.9241
MEM 6.664062 1750936469.0250
MEM 6.664062 1750936469.1252
MEM 6.664062 1750936469.2257
MEM 6.664062 1750936469.3267
MEM 6.664062 1750936469.4272
MEM 6.664062 1750936469.5287
MEM 6.664062 1750936469.6293
MEM 6.664062 1750936469.7296
MEM 6.664062 1750936469.8309
MEM 6.664062 1750936469.9316
MEM 6.664062 1750936470.0321
MEM 6.664062 1750936470.1325
MEM 6.664062 1750936470.2328
MEM 6.664062 1750936470.3334
MEM 6.664062 1750936470.4343
MEM 6.664062 1750936470.5347
MEM 6.664062 1750936470.6351
MEM 6.664062 1750936470.7357
MEM 6.664062 1750936470.8365
MEM 6.664062 1750936470.9368
MEM 6.664062 1750936471.0371
MEM 6.664062 1750936471.1374
MEM 6.664062 1750936471.2379
MEM 6.664062 1750936471.3386
MEM 6.664062 1750936471.4394
MEM 6.664062 1750936471.5398
MEM 6.664062 1750936471.6401
MEM 6.664062 1750936471.7405
MEM 6.664062 1750936471.8412
MEM 6.664062 1750936471.9421
MEM 6.664062 1750936472.0427
MEM 6.664062 1750936472.1433
MEM 6.664062 1750936472.2436
MEM 6.664062 1750936472.3443
MEM 6.664062 1750936472.4448
MEM 6.664062 1750936472.5457
MEM 6.664062 1750936472.6461
MEM 6.664062 1750936472.7467
MEM 6.664062 1750936472.8471
MEM 6.664062 1750936472.9475
MEM 6.664062 1750936473.0483
MEM 6.664062 1750936473.1490
MEM 6.664062 1750936473.2496
MEM 6.664062 1750936473.3500
MEM 6.664062 1750936473.4504
MEM 6.664062 1750936473.5510
MEM 6.664062 1750936473.6515
MEM 6.664062 1750936473.7519
MEM 6.664062 1750936473.8524
MEM 6.664062 1750936473.9527
MEM 6.664062 1750936474.0534
MEM 6.664062 1750936474.1539
MEM 6.664062 1750936474.2545
MEM 6.664062 1750936474.3548
MEM 6.664062 1750936474.4554
MEM 6.664062 1750936474.5557
MEM 6.664062 1750936474.6563
MEM 6.664062 1750936474.7567
